Latitude,Longitude,ID,Altitude,Nom
46.766000,6.359167,07392,1036,METABIEF_STATION
46.020833,6.970833,07393,2196,LE TOUR BALME
46.341167,6.708167,07454,1535,Bernex
45.250000,6.730000,07456,2180,Aussois
46.315333,6.673333,07457,790,VACHERESSE AUXI
46.024667,6.643833,07458,1152,LES CARROZ VILLAGE
45.901167,6.885833,07467,2310,PLAN AIGUILLE TMB
45.962000,6.888500,07470,1850,LA FLEGERE
45.466667,6.700000,07474,1950,CHAMPAGNY
45.071500,5.542000,07484,1018,VILLARD-BOIS-BARBU
45.227167,5.581167,07488,1260,AUTRANS-NIVO
45.308333,5.883333,07489,970,St Hilaire
45.321667,6.047500,07495,1440,COL DU BARIOZ
45.440000,6.980000,07498,1850,Val d Isere Joseray
45.917833,6.866167,07499,1025,CHAMONIX-OBS
45.370000,7.050000,07566,1795,Bonneval sur Arc
45.270000,6.920000,07567,2100,Val Cenis (La Berche)
44.938167,6.719500,07575,2134,MONTGENEVRE-LE CHALVET
44.838667,5.406667,07580,1260,Col du Rousset
45.128167,6.071667,07582,1350,Olmet
44.997000,6.204667,07583,3200,Les 2 ALpes Jandri
44.932667,6.292000,07584,1738,La Berarde
44.907167,5.334333,07585,1425,FONT D'URLE
44.946667,6.188333,07589,1570,St Christophe
44.810000,6.195333,07590,1270,Les Portes en Valgaudemar
44.665500,5.906667,07595,1915,Super_Devoluy
44.580667,6.352833,07596,1717,REALLON _NIVO
44.343833,6.695000,07598,1980,LE SAUZE
44.621500,6.084333,07599,1240,GAP-BAYARD
43.038333,-1.026667,07608,1327,Iraty
44.239167,6.753000,07696,1850,Estenc
44.097500,7.505833,07697,1554,Val Casterino
45.012833,6.570833,07710,2060,NEVACHE-BUFFERE
45.586667,6.896667,07711,1524,STE FOY STATION
44.616667,6.644167,07715,2050,RISOUL
46.027333,6.665333,07721,1747,LES CARROZ KEDEUSAZ
42.720833,0.655167,07723,1385,HOSPICE DE FRANCE
42.911833,0.768167,07725,1456,Boutx le Mourtis
42.891000,1.347833,07729,636,MASSAT GEND
42.739500,1.513333,07730,1468,Goulier
42.655167,2.058333,07741,2131,Puyvalador_Rieutord
42.755000,1.863333,07746,1600,LE CHIOULA
46.212833,6.630500,07804,1526,ROC D'ENFER
45.100000,6.100000,07811,2350,L Alpe d Huez 2350
45.878833,6.524500,07813,1210,LA GIETTAZ
45.250000,6.580000,07815,2350,Orelle
44.893000,5.547667,07818,1250,Gresse en Vercors
46.003500,6.697333,07856,1620,Flaine
46.186167,6.780167,07858,1765,Avoriaz
46.218333,6.792333,07861,1635,CHATEL NIVO
45.180000,6.700000,07863,2000,La Norma
45.532167,2.820833,07865,1664,PLATEAU CACADOGNE
45.098667,5.876000,07870,1650,CHAMROUSSE ARSELLE
45.720000,6.270000,07871,1150,Seythenex
45.256167,5.995667,07872,1355,PRAPOUTEL
46.001667,6.948000,07873,1470,LE TOUR NIVO
45.097667,6.072833,07875,1860,L Alpe d Huez (SATA)
45.970667,6.452333,07876,1270,Le Grand Bornand
45.393000,6.128333,07877,1645,Le Collet d Allevard
45.057167,6.076333,07878,1600,AURIS-EN-OISANS
45.008833,6.105833,07880,2050,Les 2 Alpes (Pied Mouttet)
44.996667,6.171833,07881,2590,Les 2 Alpes (Toura NE)
45.022500,5.860333,07882,1390,L Alpe du Grand Serre
45.640000,6.060000,07884,1400,Les Aillons (Margeriaz)
45.230000,6.410000,07885,1610,Les Karellis
45.029167,5.570333,07886,1720,Villard cote 2000
45.893000,6.445000,07887,1594,LA CLUSAZ
45.180000,6.500000,07888,1800,Valmeinier
45.320000,6.540000,07889,1800,Les Menuires
45.160000,6.670000,07890,2200,Val Frejus
45.670000,6.540000,07891,1200,Areches
45.370000,6.580000,07892,1700,Meribel Mottaret
45.415000,6.635000,07893,1780,Courchevel
45.460000,6.450000,07894,1350,Valmorel
45.510000,6.680000,07895,1970,La Plagne
45.380000,6.720000,07896,1416,Pralognan
45.791833,6.699833,07897,1780,LES CONTAMINES MONTJOIE
45.855667,6.608000,07898,1080,MEGEVE AUXI
45.570000,6.830000,07900,2040,Les Arcs
45.630000,6.850000,07901,1870,La Rosiere
45.120667,5.895667,07902,2000,Chamrousse Niverolles
45.111500,5.609167,07903,1400,Lans en Vercors
45.470000,6.910000,07904,2080,Tignes
45.240000,6.270000,07907,1585,Le Corbier
45.968333,6.942833,07908,1970,Lognan
45.345000,5.846500,07909,1700,St Pierre de Chartreuse
45.770000,6.530000,07911,1620,Les Saisies
45.320000,7.000000,07912,1707,Bessans
45.440000,7.020000,07913,2320,Le Molard
45.025500,6.288667,07915,2420,La Grave - La Meije
45.420000,6.350000,07916,1620,ST FRANCOIS LONG
44.690000,5.937667,07917,1281,St Etienne en Devoluy
45.283333,6.583333,07918,2284,VAL THORENS
44.709333,6.316500,07919,2130,Orcieres
45.158833,6.097667,07920,1720,VAUJANY-NIVO
44.818000,6.485833,07921,1680,PUY ST VINCENT 1600
45.150000,6.450000,07922,2300,Valloire
44.481667,6.562833,07923,1895,LES ORRES FONTAINES
44.926667,6.539667,07924,2070,Villeneuve la Salle
44.924500,6.571333,07925,1905,Serre Chevalier
44.949833,6.501000,07926,2185,Le Monetier
44.360000,6.584667,07927,2100,Pra Loup
46.165500,6.658333,07928,1550,Les Gets
44.572000,6.679667,07929,1855,Vars
44.671167,6.776167,07931,1665,CEILLAC_NIVO
44.593000,6.843333,07933,1908,Maljasset
44.702333,6.866833,07935,2060,ST VERAN RM
44.793500,6.946167,07936,2020,ABRIES RM
44.113167,7.288833,07938,1520,BOREON
44.189500,7.149000,07939,1912,ISOLA
44.289833,6.561667,07940,1900,La Foux d Allos
44.087000,6.941333,07941,1630,Valberg
44.215333,6.913500,07942,1910,Auron
42.980000,-0.750000,07943,1650,ARETTE LA PIERRE  SAINT MARTIN
44.870833,6.487167,07945,1270,PELVOUX ST ANTOINE
42.900000,-0.400000,07949,1870,Artouste
42.950000,-0.331667,07950,1600,Gourette
42.879667,-0.158167,07952,1920,CAUTERETS_LYS
42.881000,-0.063833,07953,1800,Luz Ardiden
42.828333,0.550000,07954,1107,St Paul d Oueil
42.729167,-0.031167,07955,1840,GAVARNIE_ESPECIERES
42.905500,0.130833,07957,1740,Bareges
42.971667,-0.006833,07958,1529,HAUTACAM
42.782167,0.160000,07959,1860,Piau
42.943500,0.456167,07960,1590,Nistos
42.728500,1.818833,07962,680,SAVIGNAC
42.816500,0.254667,07964,2085,ST LARY LITA
42.791167,0.388000,07965,1460,Val Louron
42.835333,0.934667,07966,1000,Seintein Eylie haut
42.770833,0.455667,07967,2198,PEYRESOURDES
42.786833,0.477667,07968,1569,Les Agudes
42.770500,0.576333,07969,1763,Superbagneres
42.724000,1.690667,07970,1789,Beille
42.778833,1.300833,07971,1384,Guzet
42.692333,1.796500,07972,1715,Ax Bonascre
42.843833,1.744167,07973,1472,Mont d Olmes
42.730333,1.954000,07974,1500,Ascou Pailheres
42.590167,1.800333,07975,1420,L Hospitalet
42.726500,2.017000,07976,1530,Mijanes
42.551667,1.789000,07977,2087,PORTE-PUYMORENS
42.807167,1.381167,07978,1280,Etang de L Hers
42.531833,2.031833,07980,2124,FONT-ROMEU-GALINERA
42.571667,2.051667,07981,2108,Les Angles
42.623667,2.068333,07982,1753,FORMIGUERE
42.472833,2.117667,07984,1941,ST PIERRE DELS FORCATS
42.286833,8.891667,07985,1420,Vergio
41.999333,9.123167,07986,1623,Bastelica
42.402667,8.922667,07987,1434,ASCO-STAGNU
41.823667,9.142333,07988,1528,BUCCHINERA
42.077000,9.147167,07989,1670,GHISONI-CAPAGHJOLU
42.537500,1.490000,07993,1875,Pal
42.628000,1.499667,07994,2055,Arcalis Nord
42.574000,1.470667,07995,1923,Arinsal
42.530500,1.700667,07997,2139,Grau Roig
42.510000,1.530000,,1105,ANDORRE LA VIEILLE
